total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,cost_drag_ann,avg_exposure,strategy,split,cost_bps,display_name
-0.26038936461251905,-0.11020176286245165,0.20985610251684586,-0.4516104410429094,-0.4005272233267755,-0.27514175427856513,0.0,0.0,1.0,buy_and_hold,holdout,5,Buy & Hold QQQ
-0.432115624967507,-0.07034022352366642,0.25816219247236555,-0.1533330518131686,-0.5073248122425122,-0.13864928705683385,0.0005115089514066496,6.445012787723786e-05,1.0,buy_and_hold,full,5,Buy & Hold QQQ
-0.03699514578154628,-0.012059012202304986,0.21501318391054985,0.05080571081436004,-0.36391571802358025,-0.03313682703181183,0.1222860791826309,0.015408045977011493,0.2771392081736909,medium_term_trend,train,5,Medium-Term Trend
0.29984578578391496,0.13524028794736886,0.24213871652170377,0.6451446758390286,-0.28678898007400977,0.4715672405280994,0.09213051823416507,0.011608445297504799,0.5215930902111324,medium_term_trend,validation,5,Medium-Term Trend
-0.028797423137546296,-0.011247317866375783,0.17441351888922543,0.02214021221291814,-0.2101413779246839,-0.053522623566344456,0.09216589861751152,0.01161290322580645,0.3191244239631336,medium_term_trend,holdout,5,Medium-Term Trend
0.21571040237136607,0.02549754687090422,0.21033572807765974,0.2248385494184053,-0.36391571802358025,0.07006442867975295,0.10421994884910486,0.013131713554987212,0.35626598465473147,medium_term_trend,full,5,Medium-Term Trend
-0.4394345436523889,-0.1699617047443598,0.41227451403960874,-0.2455803675653177,-0.636363742503907,-0.2670826343367862,0.0019157088122605363,0.00024137931034482756,1.4744572158365261,rsi_deep_value,train,5,RSI Deep Value
0.04508793370199049,0.021560148356071007,0.42620218281772276,0.2639295224837719,-0.5089115522457324,0.042365217022349105,0.0,0.0,1.5,rsi_deep_value,validation,5,RSI Deep Value
-0.39044615976382036,-0.17438254435677303,0.3147841537752688,-0.45161044104290937,-0.5489529151732992,-0.31766393717341335,0.0,0.0,1.5,rsi_deep_value,holdout,5,RSI Deep Value
-0.6428988596905906,-0.12430135829659406,0.38648215532458596,-0.14984153951260798,-0.7129587600514249,-0.17434579005331016,0.0007672634271099745,9.667519181585678e-05,1.489769820971867,rsi_deep_value,full,5,RSI Deep Value
-0.4274071085858986,-0.164271209114353,0.17331498567835701,-0.9473597932937727,-0.46477201612445807,-0.3534447071149911,0.05363984674329502,0.006758620689655172,0.2161558109833972,dual_trend_macro,train,5,Dual Trend Macro
-0.19144531938410658,-0.09768038445706062,0.22590126346178552,-0.34165024116227927,-0.36749284127421866,-0.2658021422087314,0.08493282149712092,0.010701535508637236,0.31429942418426104,dual_trend_macro,validation,5,Dual Trend Macro
-0.40221170939684237,-0.180588186591351,0.1975567345556688,-0.9088394400894839,-0.44564924911759074,-0.4052249318245801,0.10253456221198157,0.012919354838709679,0.3955453149001536,dual_trend_macro,holdout,5,Dual Trend Macro
-0.7232403635238441,-0.15260303936244002,0.19644806368802345,-0.743792019779645,-0.7489481122184878,-0.20375649110111077,0.0782608695652174,0.00986086956521739,0.3020460358056266,dual_trend_macro,full,5,Dual Trend Macro
-0.11119751123593125,-0.03722781983929402,0.24008335589982416,-0.03832609970397411,-0.38835895399671116,-0.09585930607797775,0.06673052362707534,0.008408045977011495,0.8118348233290763,final_research_ensemble,train,5,Final Research Ensemble
